campaign_directory,manifest_count,clean_manifest_count,dirty_manifest_count,completed_count,extinction_count,source_git_commit,integrity_verified,disposition
v8-reproduction,4,4,0,3,1,b654e85b1cfa05f275f0f1a98fcc77eb841e30e0,true,retained_exact_reproduction
test2-seed-robustness,8,0,8,5,3,b654e85b1cfa05f275f0f1a98fcc77eb841e30e0,true,retained_dirty_diagnostic
test2-seed-robustness-extended,12,0,12,8,4,b654e85b1cfa05f275f0f1a98fcc77eb841e30e0,true,retained_dirty_diagnostic
test3-turnover-diagnostic,5,0,5,5,0,b654e85b1cfa05f275f0f1a98fcc77eb841e30e0,true,retained_dirty_diagnostic
test4-density-response-10,2,0,2,2,0,b654e85b1cfa05f275f0f1a98fcc77eb841e30e0,true,retained_dirty_diagnostic
test4-density-response-25,2,0,2,2,0,b654e85b1cfa05f275f0f1a98fcc77eb841e30e0,true,retained_dirty_diagnostic
test4-density-response-50,2,0,2,2,0,b654e85b1cfa05f275f0f1a98fcc77eb841e30e0,true,retained_dirty_diagnostic
test4-density-response-75,2,0,2,2,0,b654e85b1cfa05f275f0f1a98fcc77eb841e30e0,true,retained_dirty_diagnostic
test4-density-response-95,2,0,2,2,0,b654e85b1cfa05f275f0f1a98fcc77eb841e30e0,true,retained_dirty_diagnostic
test5-reproduction-throttling,9,0,9,9,0,b654e85b1cfa05f275f0f1a98fcc77eb841e30e0,true,retained_dirty_diagnostic
test6-parasite-inoculum-32,2,0,2,2,0,b654e85b1cfa05f275f0f1a98fcc77eb841e30e0,true,retained_dirty_diagnostic
test6-parasite-inoculum-128,2,0,2,2,0,b654e85b1cfa05f275f0f1a98fcc77eb841e30e0,true,retained_dirty_diagnostic
test6-parasite-inoculum-512,2,0,2,2,0,b654e85b1cfa05f275f0f1a98fcc77eb841e30e0,true,retained_dirty_diagnostic
qualification-sweep,6,0,6,6,0,cba779dea3e231bb2c656e78672da8a1c797d35b,true,retained_dirty_diagnostic_not_qualification
